id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6f5unDWlimRIJoll1EbPiQ,Thirteen,Surly,0.612,0.574,6,-10.589,1,0.0382,0.37,0.833,0.349,0.0638,119.987,249014,3
74ZovzRxHBvCq5yIwe8boh,OKRA,TylerThe Creator,0.589,0.57,1,-9.54,1,0.361,0.0456,0.00000151,0.137,0.441,136.203,151027,4
6v9z6bMUbflgU45QrtCBcs,American Guilt,Unknown Mortal orchestra,0.281,0.918,1,-3.845,1,0.32,0.166,0.00669,0.323,0.36,99.455,273137,4
42Id79UXYjeyaOHubf0oqz,Paplu(Love that moves the Sun),Vessel,0.359,0.799,6,-5.404,1,0.0487,0.0356,0.817,0.123,0.296,137.987,273137,3
31FUO6PYWcal7MF4EqSdLs,One more,Yaeji,0.83,0.387,11,-12.418,0,0.139,0.539,0,0.075,0.497,117.993,202537,4
6e32JnkTy46WgO1waYifJo,Beauty In Falling leaves,YOB,0.522,0.415,0,-8.379,1,0.0295,0.00157,0.548,0.0663,0.134,112.066,987313,3
2iUXsYOEPhVqEBwsqP70rE,Young Blood,5 seconds of Summer,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
7AEMy7akNlYCzrzrGdspje,Ring the Alarm,"700 Bliss,Moor Mother,DJ Haram",0.83,0.515,1,-11.512,1,0.0874,0.143,0.287,0.216,0.541,125.014,140000,4
6SBITkcYSlE5hz0ZpoFZ8f,ketchum ID,"Julien Baker,Phoebe Bridgers,Lucy Dacus",0.39,0.106,0,-11.945,1,0.033,0.913,0,0.381,0.22,118.441,215690,3
3Vo4wInECJQuz9BIBMOu8i,Finesse (Remix),"Bruno Mars, Cardi B",0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,217289,4
19AHHlLPUWdDC6xG9d6WQU,Out of the window,Confidence Man,0.641,0.769,10,-7.797,1,0.0499,0.000533,0.00314,0.339,0.521,105.013,265280,4
4pXiV088jJbJzQgU9XcZXQ,HATE THE REAL ME,Future,0.71,0.553,6,-6.795,1,0.0602,0.0859,0,0.142,0.143,142.984,240405,4
6HdXtdddStJidRGMtlts6V,Hold Me - T4T Embrace Mix,Eris Drew,0.773,0.817,9,-10.023,0,0.0603,0.011,0.89,0.0635,0.613,123.487,356489,4
